Geography,Cases,Rate per 100000
"Dougherty County, GA","1,124","1230.7"
"Douglas County, GA","985","699.9"
"Early County, GA","122","1153.7"
"Echols County, GA","4","99.0"
"Effingham County, GA","211","369.5"
"Elbert County, GA","98","506.1"
"Emanuel County, GA","160","704.6"
"Evans County, GA","48","445.0"
"Fannin County, GA","35","144.0"
"Fayette County, GA","317","286.3"
"Floyd County, GA","476","493.2"
"Forsyth County, GA","400","188.3"
"Franklin County, GA","84","376.5"
"Fulton County, GA","8,292","820.5"
"Gilmer County, GA","51","173.5"
"Glascock County, GA","9","293.6"
"Glynn County, GA","581","695.2"
"Gordon County, GA","142","251.0"
"Grady County, GA","143","567.3"
"Greene County, GA","121","724.1"
"Gwinnett County, GA","3,923","437.9"
"Habersham County, GA","101","229.6"
"Hall County, GA","588","303.8"
"Hancock County, GA","60","701.7"
"Haralson County, GA","97","336.2"
"Harris County, GA","70","209.7"
"Hart County, GA","91","356.4"
"Heard County, GA","32","277.3"
"Henry County, GA","1,225","562.6"
"Houston County, GA","1,011","673.9"
"Irwin County, GA","64","692.3"
"Jackson County, GA","180","284.1"
"Jasper County, GA","38","278.7"
"Jeff Davis County, GA","71","475.9"
"Jefferson County, GA","137","850.6"
"Jenkins County, GA","33","368.4"
"Johnson County, GA","50","517.8"
"Jones County, GA","53","186.0"
"Lamar County, GA","92","505.5"
"Lanier County, GA","35","339.4"
"Laurens County, GA","297","622.2"
"Lee County, GA","105","359.6"
"Liberty County, GA","774","1239.1"
"Lincoln County, GA","27","351.9"
"Long County, GA","78","439.9"
"Lowndes County, GA","1,215","1076.5"
"Lumpkin County, GA","72","229.2"
"Mcduffie County, GA","209","970.3"
"Mcintosh County, GA","60","429.5"
"Macon County, GA","83","608.9"
"Madison County, GA","134","471.2"
"Marion County, GA","30","342.4"
"Meriwether County, GA","112","528.6"
"Miller County, GA","41","700.4"
"Mitchell County, GA","135","598.0"
"Monroe County, GA","73","269.3"
"Montgomery County, GA","41","458.0"
"Morgan County, GA","81","448.9"
"Murray County, GA","102","257.8"
"Muscogee County, GA","1,678","836.6"
"Newton County, GA","725","687.4"
"Oconee County, GA","90","250.2"
"Oglethorpe County, GA","43","289.2"
"Paulding County, GA","552","362.6"
"Peach County, GA","241","901.9"
"Pickens County, GA","59","194.7"
"Pierce County, GA","76","397.8"
"Pike County, GA","36","200.7"
"Polk County, GA","167","402.2"
"Pulaski County, GA","39","342.2"
"Putnam County, GA","126","590.1"
"Quitman County, GA","17","738.5"
"Rabun County, GA","30","184.3"
"Randolph County, GA","45","625.6"
"Richmond County, GA","1,827","905.4"
"Rockdale County, GA","574","646.0"
"Schley County, GA","18","348.3"
"Screven County, GA","93","656.7"
"Seminole County, GA","56","647.6"
"Spalding County, GA","341","532.4"
"Stephens County, GA","99","386.9"
"Stewart County, GA","30","512.7"
"Sumter County, GA","251","815.5"
"Talbot County, GA","33","520.8"
"Taliaferro County, GA","7","427.1"
"Tattnall County, GA","107","424.1"
"Taylor County, GA","29","348.1"
"Telfair County, GA","76","463.4"
"Terrell County, GA","95","1042.5"
"Thomas County, GA","281","623.6"
"Tift County, GA","294","721.2"
"Toombs County, GA","157","576.3"
"Towns County, GA","13","116.3"
"Treutlen County, GA","33","486.4"
