Geography,Cases,Rate per 100000
"Maui County, HI","488","307.9"
"Ada County, ID","1,478","361.4"
"Adams County, ID","9","230.5"
"Bannock County, ID","326","389.1"
"Bear Lake County, ID","5","84.7"
"Benewah County, ID","15","164.5"
"Bingham County, ID","92","202.1"
"Blaine County, ID","43","203.6"
"Boise County, ID","8","117.6"
"Bonner County, ID","80","197.8"
"Bonneville County, ID","251","234.8"
"Boundary County, ID","18","166.2"
"Butte County, ID","1","36.7"
"Camas County, ID","2","185.7"
"Canyon County, ID","701","361.6"
"Caribou County, ID","10","147.5"
"Cassia County, ID","46","197.5"
"Clark County, ID","0","0.0"
"Clearwater County, ID","10","116.5"
"Custer County, ID","2","46.0"
"Elmore County, ID","87","331.2"
"Franklin County, ID","6","46.8"
"Fremont County, ID","16","123.2"
"Gem County, ID","38","228.0"
"Gooding County, ID","27","177.1"
"Idaho County, ID","14","85.3"
"Jefferson County, ID","35","131.3"
"Jerome County, ID","52","230.8"
"Kootenai County, ID","465","326.8"
"Latah County, ID","104","272.4"
"Lemhi County, ID","8","102.9"
"Lewis County, ID","12","312.7"
"Lincoln County, ID","10","190.3"
"Madison County, ID","19","50.4"
"Minidoka County, ID","43","213.7"
"Nez Perce County, ID","159","401.9"
"Oneida County, ID","3","70.9"
"Owyhee County, ID","17","149.1"
"Payette County, ID","61","269.0"
"Power County, ID","20","256.1"
"Shoshone County, ID","30","236.2"
"Teton County, ID","11","109.0"
"Twin Falls County, ID","182","231.8"
"Valley County, ID","15","157.7"
"Washington County, ID","19","189.1"
"Adams County, IL","276","410.9"
"Alexander County, IL","67","868.8"
"Bond County, IL","56","319.9"
"Boone County, IL","177","328.8"
"Brown County, IL","21","304.7"
"Bureau County, IL","75","218.4"
"Calhoun County, IL","8","159.2"
"Carroll County, IL","21","139.4"
"Cass County, IL","46","343.0"
"Champaign County, IL","1,490","730.1"
"Christian County, IL","85","246.2"
"Clark County, IL","54","331.3"
"Clay County, IL","39","283.9"
"Clinton County, IL","75","197.1"
"Coles County, IL","335","628.2"
"Cook County, IL","37,946","725.2"
"Crawford County, IL","60","305.7"
"Cumberland County, IL","22","201.1"
"Dekalb County, IL","510","489.2"
"De Witt County, IL","26","157.5"
"Douglas County, IL","41","206.9"
"Dupage County, IL","1,861","200.5"
"Edgar County, IL","45","247.8"
"Edwards County, IL","14","208.0"
"Effingham County, IL","78","227.0"
"Fayette County, IL","60","271.2"
"Ford County, IL","36","257.5"
"Franklin County, IL","120","300.9"
"Fulton County, IL","92","251.2"
"Gallatin County, IL","12","221.4"
"Greene County, IL","24","176.2"
"Grundy County, IL","68","135.5"
"Hamilton County, IL","15","179.4"
"Hancock County, IL","31","164.1"
"Hardin County, IL","3","70.4"
"Henderson County, IL","13","184.4"
"Henry County, IL","147","293.2"
"Iroquois County, IL","35","119.5"
"Jackson County, IL","738","1251.6"
"Jasper County, IL","14","145.2"
"Jefferson County, IL","147","380.2"
"Jersey County, IL","47","206.8"
"Jo Daviess County, IL","22","97.7"
"Johnson County, IL","35","271.1"
"Kane County, IL","1,580","302.8"
"Kankakee County, IL","674","596.5"
"Kendall County, IL","223","188.4"
"Knox County, IL","210","401.6"
"Lake County, IL","2,611","372.2"
"Lasalle County, IL","293","259.0"
"Lawrence County, IL","33","197.9"
"Lee County, IL","139","395.9"
"Livingston County, IL","165","428.3"
"Logan County, IL","128","421.3"
"Mcdonough County, IL","177","544.6"
"Mchenry County, IL","484","157.3"
"Mclean County, IL","899","520.9"
"Macon County, IL","839","762.0"
"Macoupin County, IL","127","269.2"
"Madison County, IL","1,120","417.8"
"Marion County, IL","166","426.6"
"Marshall County, IL","21","171.1"
"Mason County, IL","53","369.5"
"Massac County, IL","52","343.2"
"Menard County, IL","37","290.8"
"Mercer County, IL","37","228.4"
"Monroe County, IL","74","222.0"
"Montgomery County, IL","78","263.4"
"Morgan County, IL","141","398.8"
"Moultrie County, IL","28","187.0"
